URL	Trafik	KW Sayısı	Top Keyword	Top KW Volume	Top KW Pozisyon
https://www.kelebek.com/	111629	4772	kelebek	94000	1
https://www.kelebek.com/koltuk-takimlari	17726	2997	bohem koltuk takımı	46000	5
https://www.kelebek.com/yemek-odasi-takimi	12556	2215	yemek odası takımı	11000	3
https://www.kelebek.com/yatak-odasi-takimi	10777	3448	yatak odası takımı	106000	12
https://www.kelebek.com/mutfak-masa-takimi	8062	698	mutfak masası	33000	9
https://www.kelebek.com/kose-takimi	6879	1820	kose koltuk takımı	22000	11
https://www.kelebek.com/tv-unite-takimi	6412	1008	tv ünitesi	68000	12
https://www.kelebek.com/genc-odasi-takimlari	5012	1924	kelebek	94000	1
https://www.kelebek.com/blog-bohem-tarz-nedir-bohem-ne-demektir	3760	60	bohem	17000	4
https://www.kelebek.com/yemek-odasi-lp	3016	579	kelebek	94000	1
https://www.kelebek.com/konsol	3013	131	konsol	37000	6
https://www.kelebek.com/blog-koltuk-nasil-silinir-ve-temizlenir-temizlik-onerileri	2979	121	koltuk neyle silinir	2100	1
https://www.kelebek.com/dolap	2817	464	kelebek gardırop	600	1
https://www.kelebek.com/orta-sehpa	2707	220	orta sehpa	36000	12
https://www.kelebek.com/en/dekorasyonda-kahverengi-ile-uyumlu-renkler	2323	81	kahverengiye yakisan renkler	1100	1
https://www.kelebek.com/lambader	2128	69	lambader	49000	11
https://www.kelebek.com/sandalye-bench	2030	118	sandalye	42000	12
https://www.kelebek.com/acilir-masa	2009	198	açılır kapanır masa	8300	6
https://www.kelebek.com/dekorasyonda-kahverengi-ile-uyumlu-renkler	1987	72	kahverengi ile uyumlu renkler	5200	1
https://www.kelebek.com/uclu-koltuk	1957	730	kelebek yatakli kanepe	1000	2
https://www.kelebek.com/tv-alt-unite	1908	368	şömineli tv ünitesi	31000	12
https://www.kelebek.com/ikili-koltuk	1845	299	ikili koltuk	7100	12
https://www.kelebek.com/masalar	1818	196	yuvarlak masa	12000	8
https://www.kelebek.com/makyaj-masasi	1817	50	makyaj masası	50000	8
https://www.kelebek.com/oturma-odasi-lp	1757	257	kelebek koltuk takımı	2900	2
https://www.kelebek.com/armin-moduler-giyinme-dolabi	1744	49	giyinme odası	8200	3
https://www.kelebek.com/bahce-seti	1724	96	balkon takımı	33000	9
https://www.kelebek.com/karyola	1648	197	karyola yatak	3400	6
https://www.kelebek.com/yardim/genel	1608	34	kelebek mobilya müşteri hizmetleri	2100	1
https://www.kelebek.com/tv-unitesi	1595	295	kelebek mobilya tv ünitesi	600	1
https://www.kelebek.com/yemek-sandalyesi	1562	69	yemek masası sandalyesi	6500	6
https://www.kelebek.com/blog-yemek-masasi-olculeri-nasil-olmalidir	1474	150	6 kişilik masa ortusu ölçüleri	300	1
https://www.kelebek.com/yan-sehpa	1411	87	yan sehpa	5900	5
https://www.kelebek.com/zigon-sehpa	1386	109	zigon sehpa	24000	11
https://www.kelebek.com/puf	1368	117	puf	38000	8
https://www.kelebek.com/tekli-koltuk	1352	131	tekli koltuk	12000	8
https://www.kelebek.com/yatakli-koltuk	1325	257	kelebek yatakli kanepe	1000	1
https://www.kelebek.com/6-kapakli-dolap	1252	205	6 kapaklı gardırop	3900	6
https://www.kelebek.com/boy-aynasi	1201	49	boy aynasi	21000	10
https://www.kelebek.com/magazalarimiz	1096	1064	kelebek mobilya magazalari	300	2
https://www.kelebek.com/berjer	1049	110	kelebek berjer	700	1
https://www.kelebek.com/4-kapakli-dolap	1017	167	4 kapili gardrop	1900	5
https://www.kelebek.com/karyola-baza-basliklar	1003	301	kelebek baza	250	1
https://www.kelebek.com/bebek-odasi-takimlari	972	72	bebek odası takımı	9400	11
https://www.kelebek.com/yatak-odasi	941	98	kelebek yatak odası	2900	5
https://www.kelebek.com/iletisim	936	76	kelebek mobilya müşteri hizmetleri	2100	3
https://www.kelebek.com/salincak-grubu	903	132	bahçe salıncağı	4100	9
https://www.kelebek.com/kelebek-garden-balcony	821	91	bahçe takımı	8400	12
https://www.kelebek.com/mutfak-sandalyesi	798	58	mutfak sandalyesi	16000	12
https://www.kelebek.com/sifonyer	789	114	şifonyer modelleri	6500	12
